FOR_NFOR,TENEMENT_T,CADT_No,Built_up_area,Corn_field,Dipterocarp_forest__closed,Dipterocarp_forest__open,Fallow,Fishpond,Grassland,Mangrove_forest,Marsh,Open_barren_ground,Other_annual_crop,Palm,Perennial_fruit_crop,Plantation_forest__closed,Plantation_forest__open,Rice_paddy,Shrub_brush,Swamp_forest__closed,Swamp_forest__open,Water_body
Deforested in 1st half HRP,EXPA,117,9.81E-03,0,5.362663702,4.917802792,0,0,1.90E-02,0,0,0,0,0,3.75E-02,6.383878357,1.27437718,0,2.753553579,0,0,0.244419068
Deforested in 2nd half HRP,EXPA,117,5.92E-03,0,3.620954456,0.624301014,0,0,0,0,0,0,0,0,2.00E-02,2.056639352,0.165862248,0,1.769919012,0,0,8.85E-02
Deforested in 1st half HRP,EXPA,118,15.78898225,0,15.51093897,54.54043984,0.127819418,0,2.959650663,6.16E-02,0,0.589308984,0,0,5.38E-02,6.824977065,3.981301542,0,72.17305983,0,0,23.98889958
Deforested in 2nd half HRP,EXPA,118,1.338332067,0,14.31674431,71.01555335,0.952374059,0,4.895847764,5.96E-03,0,6.69E-02,0,0,9.86E-03,6.986659057,2.672378296,0,110.1460612,0,0,1.267201418
Deforested in 1st half HRP,AMPSA,134,3.769960438,0,22.32872798,3.063910058,0,0,7.92E-02,0,0,1.507367981,0,0,0,1.61E-02,0.234320831,0,13.00162296,0,0,1.911367009
Deforested in 1st half HRP,APSA,134,0,0,5.087023839,0.13933514,0,0,0,0,0,0,0,0,0,0,0,0,1.560259178,0,0,0
Deforested in 1st half HRP,EP,134,0,0,50.33364058,17.4801688,0,0,0.879799069,0,0,0,0,1.95E-02,0,1.481519201,0.547305436,0,19.68209337,0,0,1.97E-02
Deforested in 1st half HRP,EXPA,134,16.16977939,0,293.6193238,156.7597387,4.17E-02,0,4.288284795,4.82E-02,0,15.36573502,0,0.343104721,0.457510842,58.36685095,10.35646715,0.112788557,156.0267903,0,0,50.02122173
Deforested in 1st half HRP,MPSA,134,0,0,11.83963668,9.818108938,0,0,0,0,0,2.18E-02,0,0,0,0,0,0,5.132209794,0,0,4.84E-02
Deforested in 2nd half HRP,AMPSA,134,0.548144292,0,11.63358034,1.072202895,0,0,2.51E-03,0,0,0.111504562,0,0,0,6.56E-02,8.98E-02,0,2.443596576,0,0,0.628531433
Deforested in 2nd half HRP,APSA,134,0,0,1.362389794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95838834,0,0,0
Deforested in 2nd half HRP,EP,134,0,0,32.92505328,2.320824713,0,0,0.107252291,0,0,0,0,0,0,1.86E-02,2.80E-02,0,6.157704122,0,0,1.97E-02
Deforested in 2nd half HRP,EXPA,134,1.134992809,0,151.7026327,55.54740515,8.42E-02,0,1.817805351,6.34E-03,0,0.309117396,0,5.23E-02,0.427937251,6.592583947,2.843441056,2.46E-03,76.26349532,0,0,4.002536035
Deforested in 2nd half HRP,MPSA,134,0,0,1.382989417,2.005761576,0,0,0,0,0,0,0,0,0,0,0,0,3.07584803,0,0,0
